Account Name,Account Number ,Mapping,Item,Statement
210109 Accounts Payable - EGP,210109,Accounts Payable ,B.S,Current Liabilites
710801 Exchange Gain or Loss,710801,Exchange Gain or Loss,P&L, Non-Operating Expenses
110216 AAIB EGP,110216,Cash&Cash Eq,B.S,Current Assets
110201 Cash On Hand,110201,Cash&Cash Eq,B.S,Current Assets
110215 CIB CPS,110215,Cash&Cash Eq,B.S,Current Assets
110214 CIB EGP,110214,Cash&Cash Eq,B.S,Current Assets
110203 CIB USD (deleted),110203,Cash&Cash Eq,B.S,Current Assets
110204 AAIB EGP (deleted),110204,Cash&Cash Eq,B.S,Current Assets
110205 AAIB USD (deleted),110205,Cash&Cash Eq,B.S,Current Assets
110218 AAIB (USD) Bank,110218,Cash&Cash Eq,B.S,Current Assets
110217 CIB USD Account,110217,Cash&Cash Eq,B.S,Current Assets
130100 Employee Cash Advances,130100,Other debit balance,B.S,Current Assets
130106 EMPLOYEES ADVANCES,130106,Other debit balance,B.S,Current Assets
130402 Other prepaid expenses,130402,Other debit balance,B.S,Current Assets
130401 Rent - Prepaid Expenses,130401,Other debit balance,B.S,Current Assets
150402 Accumulated Depreciation,150402,Accumulated Depreciation,B.S,Current Assets
150401 Computers,150401,PP&E,B.S,Current Assets
150102 Accumulated Depreciation,150102,Accumulated Depreciation,B.S,Current Assets
150101 Furniture Equipment & Fixtures,150101,PP&E,B.S,Current Assets
150302 Accumulated Depreciation,150302,Accumulated Depreciation,B.S,Current Assets
150301 Electric tools & Equipments,150301,PP&E,B.S,Current Assets
150702 Accumulated amortisation of Office Leasehold,150702,Accumulated Depreciation,B.S,Current Assets
150701 Office Leasehold,150701,PP&E,B.S,Current Assets
150602 Cars Accumulated depletion,150602,Accumulated Depreciation,B.S,Current Assets
150601 Company Car,150601,PP&E,B.S,Current Assets
150201 Buildings & Improvements,150201,PP&E,B.S,Current Assets
150202 Accumulated Depreciation,150202,Accumulated Depreciation,B.S,Current Assets
230201 Accrued Expenses,230201,Other debit balance,B.S,Current Assets
230202 Accrued liabilities,230202,Other Credit Balance,B.S,Current Assets
230110 Accrued Payroll,230110,Other Credit Balance,B.S,Current Assets
230401 Additional Tax (TD1),230401,Other Credit Balance,B.S,Current Liabilites
230112 Egypt Payroll Tax Accrual,230112,Other Credit Balance,B.S,Current Assets
230114 Employee Premium Card Liability,230114,Other Credit Balance,B.S,Current Assets
230413 Social Insurance,230413,Other Credit Balance,B.S,Current Assets
260101 LXT CA,260101,Due to IC,B.S,Current Liabilites
240202 Withholding Tax Liab,240202,Other Credit Balance,B.S,Current Assets
240201 Income Taxes Payable,240201,Other Credit Balance,B.S,Current Assets
270102 Lease Liability,270102,Other Credit Balance,B.S,Current Assets
